company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
河南端琪实业发展有限公司,Python软件开发工程师,郑州,6000.0,8000.0,不限,不限,不需要融资,150-500人,Y,Y,N,N,N,N,N,N
帮伯乐,python开发工程师,上海,10000.0,18000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
浙江巨能环境工程有限公司,python开发工程师,杭州,15000.0,30000.0,3-5年,本科,不需要融资,50-150人,Y,Y,Y,N,N,N,N,N
上海全晓信息技术有限公司,"软件工程师（C++/C, Java/C#, python）",南京,15000.0,25000.0,3-5年,本科,未知,未知,N,N,Y,N,N,N,N,N
上海网擎信息系统有限公司,对日JAVA、Python高级工程师,上海,18000.0,35000.0,5-10年,本科,不需要融资,少于15人,Y,N,Y,N,N,N,Y,N
青岛启环国际贸易有限公司,Python工程师,青岛,6000.0,8000.0,3-5年,大专,不需要融资,50-150人,Y,N,N,N,N,N,N,Y
维普资讯,python开发工程师,重庆,9000.0,14000.0,1-3年,本科,不需要融资,150-500人,Y,Y,Y,N,N,N,N,N
辰而将行软件,Python开发工程师,上海,12000.0,20000.0,1-3年,本科,不需要融资,50-150人,Y,N,N,N,N,N,N,N
紫川软件,python开发,深圳,15000.0,18000.0,3-5年,本科,不需要融资,500-2000人,Y,N,Y,N,N,N,N,N
帮伯乐,Python开发工程师,天津,11000.0,20000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
万宝盛华企业管理咨询（上海）有限公司成都分公司,python自动化测试工程师,上海,20000.0,25000.0,5-10年,本科,不需要融资,少于15人,Y,N,Y,N,N,N,N,N
深圳市科雅智能数码有限公司,python后端开发,深圳,10000.0,15000.0,1-3年,本科,不需要融资,50-150人,N,N,N,N,N,N,N,Y
兰台信息,Python高级工程师（AI大模型方向）,上海,18000.0,25000.0,5-10年,本科,不需要融资,500-2000人,Y,Y,N,N,N,N,N,N
博为峰,Python开发工程师,上海,17000.0,19000.0,5-10年,大专,未知,未知,Y,N,N,Y,N,N,N,N
深智无限,python开发工程师,深圳,15000.0,18000.0,3-5年,本科,未融资,少于15人,N,N,N,N,N,N,N,N
岩山科技,python开发工程师,上海,28000.0,35000.0,5-10年,本科,不需要融资,500-2000人,Y,Y,Y,N,N,N,N,N
Veeva System维我软件,python高级开发工程师,北京,30000.0,40000.0,5-10年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
玖乾奕软件,python开发实习生,上海,3000.0,4000.0,不限,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
特易资讯,海外爬虫开发工程师（to B Python）,上海,15000.0,23000.0,1-3年,本科,不需要融资,150-500人,Y,Y,Y,N,N,N,N,N
瑞丰科技,python开发工程师,广州,6000.0,10000.0,3-5年,本科,不需要融资,150-500人,Y,Y,Y,N,N,N,N,N
上海韦创立企业管理咨询有限公司,python开发,北京,14000.0,18000.0,1-3年,不限,不需要融资,50-150人,N,N,N,N,Y,Y,N,N
北京指南针,python数据开发工程师,北京,15000.0,30000.0,1-3年,本科,上市公司,500-2000人,N,N,N,N,N,N,N,N
担路网,web开发工程师（python+js）,上海,10000.0,18000.0,不限,本科,未融资,15-50人,N,N,N,N,N,N,N,N
国泰君安期货有限公司,Python开发工程师,上海,12000.0,20000.0,不限,硕士,不需要融资,500-2000人,Y,N,Y,Y,N,N,N,N
玖乾奕软件,python数据开发工程师,上海,15000.0,25000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
第三石科技,python开发工程师,北京,13000.0,25000.0,1-3年,本科,B轮,50-150人,N,N,N,N,N,N,N,N
深圳渔航人才服务,python开发工程师,西安,8000.0,12000.0,1-3年,本科,未融资,少于15人,Y,Y,N,N,N,N,N,N
南京洲源信息科技有限公司,Python开发工程师（实习生）,南京,4000.0,5000.0,在校/应届,本科,不需要融资,15-50人,N,Y,N,N,N,N,N,N
河南甫得影视,python爬虫开发工程师,郑州,6000.0,8000.0,不限,不限,不需要融资,50-150人,Y,Y,Y,N,N,N,N,N
深圳市晨特电子有限公司,python开发工程师,深圳,6000.0,12000.0,1-3年,大专,未知,未知,Y,Y,N,N,N,N,N,N
奥维数字,python开发工程师,济南,18000.0,25000.0,5-10年,本科,不需要融资,150-500人,Y,N,N,Y,N,N,N,N
上海现代通用识别技术有限公司,Python开发工程师,上海,15000.0,20000.0,3-5年,本科,不需要融资,50-150人,N,N,N,N,Y,Y,N,N
深圳市捷仕通电子科技有限公司,python开发工程师,深圳,8000.0,10000.0,1-3年,大专,未知,未知,Y,Y,N,N,N,N,N,N
优脉家族办公室,python开发,上海,3000.0,4000.0,在校/应届,本科,不需要融资,15-50人,Y,Y,N,N,N,N,N,N
