abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
深物业B,158530.44,6760.52,200011,59597.91,17982.99
南 玻Ｂ,546583.19,110936.91,200012,307069.21,197467.69
深康佳Ｂ,257650.16,81135.16,200016,240794.54,86814.62
深中华B,89594.04,24836.30,200017,68918.49,32287.19
深粮B,366506.21,5174.93,200019,115253.53,16456.27
深华发Ｂ,66542.89,10199.58,200020,28316.12,23969.02
特 力Ｂ,191389.89,3828.00,200025,43105.83,16996.32
飞亚达Ｂ,276731.05,4058.09,200026,40576.40,27676.20
一致Ｂ,670660.92,7134.93,200028,55656.51,85975.94
深深房Ｂ,266066.58,12000.00,200029,101166.00,31560.00
富奥B,529459.50,4781.89,200030,174164.31,14536.95
深南电B,101264.12,26385.44,200037,60276.26,44327.55
深纺织Ｂ,196530.48,4942.80,200045,50652.18,19178.06
方大Ｂ,165376.63,39415.88,200055,107387.42,60700.45
皇庭B,119435.35,24323.50,200056,118252.82,24566.74
深赛格B,204379.31,24637.96,200058,123120.07,40899.02
粤高速Ｂ,1674735.71,34875.00,200429,209080.61,279348.75
宁通信B,87935.00,10000.00,200468,21500.00,40900.00
ST晨鸣B,144131.35,70638.53,200488,294145.62,34612.88
京粮B,151932.60,6497.50,200505,72695.03,13579.78
闽灿坤Ｂ,58769.16,18539.17,200512,18539.17,58769.16
虹美菱B,453166.43,14818.98,200521,102992.37,65203.53
冰山B,133227.58,24150.00,200530,84321.25,38157.00
粤电力Ｂ,887297.99,79840.80,200539,525028.40,134930.95
粤照明Ｂ,360907.88,29474.56,200541,153577.82,69265.22
江 铃Ｂ,850265.79,34400.00,200550,86321.40,338840.00
安道麦B,477611.41,15273.98,200553,232981.18,31311.66
苏常柴Ｂ,122084.80,15000.00,200570,70569.25,25950.00
苏威孚Ｂ,1226293.14,17238.00,200581,99698.63,212027.40
古井贡Ｂ,6396060.00,12000.00,200596,52860.00,1452000.00
长 安Ｂ,3678125.93,164161.48,200625,991408.61,609039.08
瓦轴B,98234.40,15860.00,200706,40260.00,38698.40
京东方Ｂ,9712414.18,69288.41,200725,3764501.62,178764.10
鲁 泰Ｂ,343268.52,22606.85,200726,81730.60,94948.78
本钢板Ｂ,513528.99,40000.00,200761,410823.20,50000.00
杭汽轮Ｂ,1256018.22,41511.52,200771,117494.69,443758.13
张 裕Ｂ,554926.54,21186.85,200869,67182.39,175003.39
中 鲁Ｂ,57737.48,13800.00,200992,26607.13,29946.00
招港B,3066697.74,17989.54,201872,250138.48,220551.80
云赛Ｂ股,107225.60,29337.05,900901,136767.35,23000.24
市北B股,28848.89,46585.00,900902,187330.48,7174.09
大众Ｂ股,48228.11,80080.65,900903,236412.29,16336.45
神奇B股,26543.36,5475.16,900904,53407.16,2721.16
老凤祥Ｂ,184765.19,20600.81,900905,52311.78,72762.07
中毅达B,28067.39,36036.00,900906,107127.46,9441.43
退市鹏B,17527.74,24128.61,900907,175277.38,2412.86
氯碱Ｂ股,66955.56,40656.00,900908,115640.00,23539.82
华谊B股,108490.78,24310.00,900909,213144.96,12373.79
海立Ｂ股,40572.42,28416.96,900910,107334.44,10741.61
金桥Ｂ股,89007.34,27217.62,900911,112241.29,21583.57
外高Ｂ股,105529.19,20055.75,900912,135991.22,15563.26
国新B股,40898.87,15364.91,900913,192919.18,3257.36
锦在线B,27525.34,16105.00,900914,55161.01,8036.40
中路Ｂ股,13597.25,8349.00,900915,32144.79,3531.63
凤凰B股,18447.53,17160.00,900916,51529.43,6143.28
海欣Ｂ股,30538.53,46885.06,900917,120705.67,11861.92
耀皮Ｂ股,28888.91,18750.00,900918,93491.61,5793.75
退市庭B,1991.17,34466.49,900919,71113.21,965.06
动力Ｂ股,27062.52,34479.73,900920,138782.18,6723.55
丹科B股,13519.77,19379.36,900921,101652.42,2577.46
三毛B股,9125.01,4878.72,900922,20099.13,2214.94
百联Ｂ股,109369.51,17971.82,900923,178416.81,11016.73
上工Ｂ股,23106.59,24394.38,900924,71316.65,7903.78
机电Ｂ股,113933.16,21623.50,900925,102273.93,24088.58
宝信Ｂ,437473.05,72385.00,900926,288380.39,109808.04
物贸Ｂ股,18400.60,9982.50,900927,49597.29,3703.51
临港B股,146052.00,12857.47,900928,252248.70,7444.48
锦旅Ｂ股,15866.99,6600.00,900929,13255.63,7900.20
陆家Ｂ股,218022.15,110073.60,900932,503515.37,47661.87
华新Ｂ股,394789.75,73472.00,900933,209659.99,138347.78
锦江Ｂ股,153551.32,15600.00,900934,107004.41,22386.00
鄂资Ｂ股,275399.58,82320.00,900936,279877.63,81002.88
华电B股,136796.92,43200.00,900937,790733.62,7473.60
海科B,49288.74,32614.87,900938,289933.78,5544.53
汇丽B,5263.50,8800.00,900939,18150.00,2552.00
大名城B,54953.29,19872.01,900940,242084.99,4510.95
东信Ｂ股,45969.60,30000.00,900941,125600.01,10980.00
黄山Ｂ股,53463.51,21607.94,900942,72937.94,15838.62
开开Ｂ股,12198.60,8000.00,900943,24300.00,4016.00
海控B股,1032853.62,36944.64,900945,4321563.25,8829.77
天雁B股,20674.55,23000.00,900946,107122.00,4439.00
振华Ｂ股,137504.03,194635.58,900947,526835.35,50799.89
伊泰Ｂ股,602843.31,132800.00,900948,292926.78,273302.40
*ST锦港B,11012.60,22280.70,900952,200229.15,1225.44
凯马Ｂ,1920.00,24000.00,900953,64000.00,720.00
退市海B,2737.35,33000.00,900955,130350.00,693.00
*ST凌云B,4990.70,18400.00,900957,34900.00,2631.20
