abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
星昊医药,217550.71,12141.79,430017,12228.82,216002.44
诺思兰德,470102.16,18010.64,430047,27427.20,308702.42
同辉信息,127573.47,13534.74,430090,19933.35,86622.34
华岭股份,674846.51,26063.19,430139,26950.74,652622.39
微创光电,202027.57,7024.44,430198,16136.39,87945.96
辰光医疗,153752.20,6653.17,430300,8584.71,119158.20
苏轴股份,568713.60,12999.69,430418,13540.80,545987.08
乐创技术,158745.86,4229.52,430425,5066.90,132510.90
海能技术,140717.03,6335.17,430476,8517.98,104657.01
峆一药业,165850.48,3371.86,430478,5622.05,99469.93
丰光精密,444692.42,9490.71,430510,18421.39,229105.69
雅达股份,177124.09,11816.59,430556,16131.52,129746.20
天润科技,176678.67,3378.25,430564,7439.10,80233.34
新芝生物,139104.23,5479.11,430685,9151.59,83282.44
合肥高科,161658.73,4148.91,430718,9066.67,73975.01
武汉蓝电,386600.75,2003.32,830779,8007.47,96720.29
安达科技,345258.99,32058.27,830809,60045.04,184335.07
齐鲁华信,112121.20,12252.01,830832,13876.39,98996.23
万通液压,396628.30,6590.14,830839,11921.50,219253.87
DR基康仪,277665.01,13484.20,830879,16696.63,224242.24
旺成科技,209230.50,4440.18,830896,10122.42,91778.54
森萱医药,436737.46,42678.71,830946,42691.83,436603.19
润农节水,224638.88,13235.74,830964,26120.80,113827.35
凯大催化,134643.60,12877.29,830974,16380.00,105851.34
凯添燃气,321499.50,17366.81,831010,23450.00,238098.97
国义招标,166125.60,15381.99,831039,15382.00,166125.49
秋乐种业,329078.40,16062.47,831087,16520.00,319964.45
昆工科技,231813.42,8216.12,831152,11134.17,171059.67
鑫汇科,138202.83,2898.59,831167,4998.29,80146.11
派诺科技,170285.79,4994.55,831175,7961.00,106833.49
三祥科技,166651.00,7075.90,831195,9803.00,120290.27
泰德股份,224112.97,9751.09,831278,15552.60,140513.23
迪尔化工,240510.82,7882.89,831304,16228.80,116824.36
海希通讯,294686.26,11009.03,831305,14026.00,231299.63
新安洁,132312.96,26755.91,831370,30628.00,115585.52
许昌智能,194385.05,14511.84,831396,16557.50,170369.04
凯华材料,241318.60,5236.75,831526,8270.00,152808.32
力王股份,277210.75,4681.75,831627,9445.00,137409.36
格利尔,132285.96,4465.73,831641,7731.50,76408.72
克莱特,307619.40,3793.06,831689,7340.00,158967.22
朱老六,236559.96,5591.72,831726,10179.00,129951.58
拾比佰,132054.30,7657.18,831768,11097.00,91120.43
科达自控,210201.60,6218.32,831832,7728.00,169138.36
三维股份,147600.01,6279.64,831834,12000.00,77239.62
浙江大农,155146.40,6707.44,831855,7473.33,139246.48
浩淼科技,235222.21,4778.10,831856,8647.88,129964.31
舜宇精工,166648.05,3318.32,831906,6497.00,85114.97
创远信科,337960.64,10543.88,831961,14284.05,249468.22
安徽凤凰,213522.72,4830.63,832000,9168.00,112505.37
田野股份,144995.67,26880.85,832023,32730.40,119082.18
禾昌聚合,266682.36,9350.08,832089,15066.80,165496.45
雷特科技,156312.00,1623.90,832110,3900.00,65085.91
恒合股份,162194.45,4876.48,832145,7055.00,112110.16
利尔达,649310.20,11541.07,832149,42163.00,177732.52
志晟信息,262009.68,6592.70,832171,10023.32,172333.20
东方碳素,141848.00,6049.33,832175,11900.00,72108.01
利通科技,234799.95,8278.22,832225,12691.89,153146.98
鹿得医疗,187792.00,7554.80,832278,17600.00,80609.72
路斯股份,216530.21,9360.05,832419,10330.64,196186.75
富恒新材,211419.00,9794.91,832469,14094.60,146923.58
美邦科技,136864.00,5303.06,832471,8320.00,87235.35
奥迪威,444476.15,11411.20,832491,14114.83,359338.62
纳科诺尔,649955.66,9162.63,832522,11196.48,531890.67
梓橦宫,174536.38,11115.56,832566,14654.61,132386.35
天罡股份,184098.00,1527.49,832651,6100.00,46099.56
方盛股份,221851.71,2458.07,832662,8755.00,62287.46
德源药业,448147.08,6917.15,832735,7821.07,396352.62
骑士乳业,225359.13,10950.50,832786,20905.30,118046.36
保丽洁,135502.93,1699.89,832802,6308.33,36513.68
慧为智能,253385.24,3864.47,832876,6418.07,152569.33
星辰科技,348737.06,8802.36,832885,17061.50,179920.20
开特股份,451738.90,10016.69,832978,17926.15,252420.71
锦波生物,3919922.09,4589.11,832982,8851.18,2032378.26
立方控股,320729.73,5546.58,833030,9224.32,192854.46
柏星龙,192630.18,3487.89,833075,6481.50,103659.98
国航远洋,378787.88,28693.84,833171,55540.75,195692.02
欧康医药,162647.67,3593.00,833230,7726.73,75632.67
生物谷,122264.01,7785.52,833266,12400.00,76765.26
灵鸽科技,279777.67,6776.23,833284,10478.56,180925.38
威贸电子,241952.13,4435.87,833346,8067.76,133031.65
民士达,628728.75,4795.38,833394,14625.00,206153.17
华维设计,142786.58,5062.02,833427,10309.50,70108.93
康比特,285478.50,11328.89,833429,12450.00,259771.43
同心传动,179405.70,6317.91,833454,10510.00,107846.77
汇隆活塞,192533.25,9292.85,833455,17745.00,100827.38
同惠电子,419368.11,8244.84,833509,16185.57,213623.75
德瑞锂电,271487.67,8103.95,833523,10130.14,217185.89
骏创科技,524437.47,3715.80,833533,10058.26,193741.85
康乐卫士,446975.54,18789.99,833575,28094.00,298948.78
科创新材,113950.00,5590.36,833580,8600.00,74072.22
惠同新材,160369.44,8306.71,833751,8678.00,153508.05
瑞奇智造,163279.02,9280.20,833781,14051.55,107835.96
中设咨询,90038.17,11020.35,833873,15338.70,64689.46
远航精密,206000.00,10000.00,833914,10000.00,206000.00
优机股份,234615.90,4120.21,833943,10152.14,95218.07
特瑞斯,171738.50,6853.44,834014,12444.82,94577.46
流金科技,214754.99,25188.20,834021,30900.00,175057.97
康普化学,233147.68,8276.10,834033,11913.52,161963.19
华洋赛车,205839.47,2755.79,834058,5608.70,101137.58
科润智控,192183.87,12965.13,834062,18658.63,133540.79
一诺威,433496.66,17089.47,834261,29113.27,254462.19
驰诚股份,169388.72,2592.61,834407,6568.00,66863.54
恒拓开源,244208.96,10604.16,834415,14051.15,184300.36
三友科技,195500.88,4204.99,834475,10289.52,79894.73
同力股份,965835.28,34574.93,834599,45752.50,729876.87
晨光电缆,178617.60,11721.59,834639,20160.00,103853.27
美之高,155237.09,4399.73,834765,6961.30,98113.97
艾能聚,223176.68,8189.38,834770,13013.22,140447.87
迅安科技,138452.60,3087.50,834950,6110.00,69962.75
五新隧装,295678.64,8675.18,835174,9000.87,284979.54
凯德石英,255375.00,5926.08,835179,7500.00,201782.92
国源科技,198483.70,8772.37,835184,13330.00,130620.64
贝特瑞,2462107.61,110917.30,835185,112733.86,2422433.83
众诚科技,253974.49,5631.45,835207,9399.50,152161.69
力佳科技,219304.80,6507.15,835237,6645.60,214735.95
*ST云创,176457.37,8110.09,835305,13237.61,108107.47
连城数控,667950.35,22336.96,835368,23478.04,635486.61
戈碧迦,271623.75,13939.40,835438,14125.00,268054.76
殷图网联,178550.00,2603.75,835508,5000.00,92979.91
机科股份,401388.00,4457.44,835579,12948.00,138180.70
富士达,541219.82,18056.54,835640,18772.80,520570.08
数字人,152902.66,6664.84,835670,10618.24,95973.73
百甲科技,121265.15,11538.56,835857,18126.33,77192.95
中科美菱,192010.90,2789.82,835892,9673.09,55377.88
海泰新能,309785.68,21072.19,835985,30947.62,210932.58
吉林碳谷,716971.82,31695.68,836077,58768.18,386687.32
旭杰科技,102996.42,4469.60,836149,7501.56,61367.60
青矩技术,350181.41,6046.11,836208,9607.17,220380.58
易实精密,202103.00,4138.51,836221,9670.00,86494.77
长虹能源,608127.84,4971.01,836239,13005.30,232444.35
华密新材,328903.74,8787.32,836247,12118.78,238487.87
中寰股份,144866.45,9896.07,836260,10355.00,138446.03
中航泰达,199717.45,10259.37,836263,14124.29,145067.54
天铭科技,187471.87,8108.63,836270,10461.60,145306.68
朗鸿科技,243374.20,10373.80,836395,15258.57,165462.15
欧普泰,102635.90,5527.58,836414,7974.82,71140.00
万德股份,121480.28,6299.44,836419,8925.81,85735.32
润普食品,130335.03,6622.27,836422,8848.27,97546.05
大唐药业,195266.72,16935.54,836433,25591.97,129218.19
博迅生物,108852.75,1709.77,836504,4333.31,42949.43
无锡晶海,189247.97,3560.40,836547,7768.80,86731.34
秉扬科技,207457.62,7854.89,836675,17216.40,94651.39
海达尔,217632.68,2087.53,836699,4562.53,99575.18
瑞星股份,133602.20,4188.00,836717,11468.00,48790.20
吉冈精密,396607.45,5113.46,836720,19021.94,106615.56
奔朗新材,203523.72,12363.28,836807,18188.00,138345.06
盖世食品,192506.67,6236.13,836826,14051.58,85434.96
派特尔,132500.24,3958.01,836871,7725.96,67879.80
广咨国际,300437.84,13292.37,836892,15486.49,257871.98
恒立钻具,125965.86,4125.25,836942,6132.71,84732.66
汉维科技,158484.07,4270.47,836957,10730.13,63074.89
西磁科技,267586.20,3736.94,836961,7079.00,141256.33
晟楠科技,298038.05,3429.19,837006,9028.72,113197.48
芭薇股份,209609.40,3426.64,837023,8580.00,83712.84
亿能电力,177012.50,5143.87,837046,10115.00,90017.79
汉鑫科技,270667.49,3192.97,837092,6207.97,139213.51
宏裕包材,127205.33,8133.33,837174,8133.33,127205.33
智新电子,187903.10,5133.21,837212,10610.00,90909.20
建邦科技,216212.81,3661.92,837242,6583.82,120257.53
三元基因,252146.70,11356.08,837344,12181.00,235070.85
康农种业,235698.68,4157.60,837403,7097.22,138073.73
华信永道,358419.05,3818.12,837592,6215.00,220191.07
明阳科技,294223.20,4871.04,837663,10320.00,138873.41
路桥信息,199677.48,6234.76,837748,7674.00,162228.39
则成电子,355886.57,5087.79,837821,9882.99,183211.48
德众汽车,132162.52,11347.40,838030,17883.97,83857.32
方大新材,209805.71,6137.74,838163,12871.52,100045.22
邦德股份,225669.68,5788.49,838171,13082.30,99851.51
美登科技,240697.41,1762.37,838227,3894.15,108932.11
DR太湖雪,188543.50,3118.54,838262,6911.42,85073.79
驱动力,160174.49,7497.59,838275,15937.76,75350.82
硅烷科技,390827.62,42206.01,838402,42206.01,390827.62
恒进感应,243880.00,6600.29,838670,13400.00,120125.28
豪声电子,289198.00,7157.66,838701,9800.00,211222.55
春光智能,172894.00,4457.68,838810,6850.00,112511.89
华原股份,278089.54,13678.78,838837,15171.28,250732.01
广脉科技,332611.08,6181.37,838924,10757.15,191127.84
天马新材,310921.47,8435.28,838971,10600.80,247406.77
一致魔芋,467443.48,6775.92,839273,10318.84,306949.03
欧福蛋业,242220.29,5846.52,839371,20544.55,68930.43
并行科技,972499.23,3243.56,839493,5823.00,541706.42
*ST广道,49244.93,4689.33,839680,6699.99,34466.61
宁新新材,109105.46,7319.37,839719,9309.34,85782.97
惠丰钻石,273094.80,4207.78,839725,9127.50,125896.66
永顺生物,253668.80,7682.50,839729,27335.00,71293.64
联迪信息,306786.87,5434.90,839790,7896.70,211145.70
东和新材,207587.16,10035.88,839792,16554.00,125849.98
华阳变速,134045.51,9702.86,839946,13499.04,96349.39
倍益康,198199.52,3720.15,870199,6810.98,108256.35
沪江材料,195647.18,4998.69,870204,9428.78,103722.90
灿能电力,181930.63,4508.05,870299,9010.93,91017.50
雅葆轩,184264.08,4451.46,870357,8008.00,102428.09
