abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
特锐德,2447093.39,102794.63,300001,105569.17,2382779.57
神州泰岳,2196110.18,181791.16,300002,196256.50,2034243.05
乐普医疗,2128851.74,161609.84,300003,188061.11,1829423.41
南风股份,366235.12,47999.36,300004,47999.36,366235.12
探路者,889004.40,88331.43,300005,88370.22,888614.17
莱美药业,367457.10,105582.09,300006,105591.12,367425.67
汉威科技,1357589.54,28297.45,300007,32744.56,1173212.07
天海防务,1076562.15,164729.01,300008,172802.91,1026261.71
安科生物,1378157.52,122170.02,300009,167252.13,1006680.97
豆神教育,1533426.59,166333.26,300010,206661.27,1234192.78
鼎汉技术,410608.03,50162.88,300011,55865.04,368697.19
华测检测,1938618.10,143176.97,300012,168282.82,1649398.68
新宁物流,221668.48,44606.09,300013,55835.89,177086.16
亿纬锂能,8862065.52,186143.46,300014,204572.15,8063734.89
爱尔眼科,11994540.64,793095.92,300015,932701.45,10199213.50
北陆药业,325668.90,49117.74,300016,49194.70,325159.42
网宿科技,2844386.98,228795.69,300017,244573.26,2660893.90
中元股份,346198.71,38107.15,300018,48083.15,274371.51
硅宝科技,724514.08,34529.28,300019,39311.67,636374.65
*ST银江,304361.66,76663.96,300020,79467.80,293622.96
大禹节水,424068.09,71756.60,300021,87077.64,349454.65
吉峰科技,411208.00,49422.94,300022,49424.04,411198.89
机器人,2658422.68,153329.80,300024,156562.00,2603539.93
华星创业,357172.63,43177.35,300025,50879.29,303105.01
红日药业,1021412.64,276342.32,300026,300415.48,939563.88
华谊兄弟,674204.94,248487.88,300027,277450.59,603825.55
*ST天龙,101857.30,20036.03,300029,20050.65,101783.01
阳普医疗,190150.20,25992.47,300030,30918.73,159853.67
宝通科技,1200097.26,35197.55,300031,41873.60,1008761.88
金龙机电,415238.69,80316.76,300032,80316.96,415237.65
同花顺,13971148.80,27550.56,300033,53760.00,7159839.04
钢研高纳,1270356.73,76637.41,300034,79696.16,1221600.25
中科电气,1072007.31,58335.14,300035,68542.67,912361.56
超图软件,718453.73,43847.78,300036,49276.66,639300.60
新宙邦,2401872.74,54618.91,300037,75388.35,1740158.34
上海凯宝,627600.00,91692.62,300039,104600.00,550155.74
九洲集团,476269.60,47683.85,300040,60287.29,376702.44
回天新材,497336.85,54442.72,300041,55943.40,483995.81
朗科科技,495589.20,20038.16,300042,20040.00,495543.57
星辉娱乐,449155.62,124353.95,300043,124419.84,448917.76
ST赛为,278048.40,76375.75,300044,76386.92,278007.73
华力创通,1225949.19,51631.32,300045,66267.52,955179.38
台基股份,731591.53,23653.14,300046,23653.14,731591.53
天源迪科,987228.75,54971.90,300047,63774.47,850965.03
合康新能,617535.85,111562.70,300048,111670.14,616941.72
福瑞股份,836358.15,23351.52,300049,26635.61,733237.78
世纪鼎利,298031.15,54451.45,300050,54484.67,297849.46
琏升科技,246248.57,36566.74,300051,37197.67,242071.83
ST中青宝,244837.89,26184.87,300052,26185.87,244828.54
航宇微,850186.67,65081.89,300053,69687.43,793999.09
鼎龙股份,2741690.95,72818.45,300054,93829.26,2127755.02
万邦达,448497.79,63270.11,300055,83674.96,339127.81
中创环保,481863.05,38519.45,300056,38549.04,481493.12
万顺新材,426045.69,71685.27,300057,88944.82,343372.45
蓝色光标,2167997.60,244809.59,300058,252680.37,2100466.30
东方财富,32881284.98,1335927.87,300059,1578554.25,27827377.50
旗天科技,758501.72,62053.97,300061,65899.37,714241.24
中能电气,283818.74,38611.15,300062,55760.07,196530.78
天龙集团,644748.08,62524.59,300063,75852.72,531459.02
海兰信,1165039.61,65584.66,300065,72049.45,1060503.97
