abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
华兴源创,1129478.21,44537.78,688001,44537.78,1129478.21
睿创微纳,2641736.57,45492.28,688002,45492.28,2641736.57
天准科技,1002241.32,19359.50,688003,19359.50,1002241.32
博汇科技,141996.02,8008.80,688004,8008.80,141996.02
容百科技,1416585.88,46508.04,688005,71472.55,921789.36
杭可科技,1039523.45,60367.22,688006,60367.22,1039523.45
光峰科技,670565.07,45929.11,688007,45929.11,670565.07
澜起科技,8779388.93,114478.93,688008,114478.93,8779388.93
中国通号,5432577.15,862101.80,688009,1058981.90,4422582.23
福光股份,620570.50,16056.16,688010,16056.16,620570.50
新光光电,191400.00,10000.00,688011,10000.00,191400.00
中微公司,11356181.28,62499.62,688012,62499.62,11356181.28
天臣医疗,179353.88,8115.56,688013,8115.56,179353.88
交控科技,375474.68,18868.07,688015,18868.07,375474.68
心脉医疗,1058082.01,12326.21,688016,12326.21,1058082.01
绿的谐波,2601437.62,16876.39,688017,18321.27,2396278.16
乐鑫科技,2227178.56,11220.04,688018,11220.04,2227178.56
安集科技,2377136.60,12921.33,688019,12921.33,2377136.60
方邦股份,270973.50,8074.30,688020,8074.30,270973.50
奥福环保,99796.31,7641.37,688021,7641.37,99796.31
瀚川智能,247460.80,17587.83,688022,17587.83,247460.80
安恒信息,492237.04,10206.55,688023,10227.24,491241.47
杰普特,478763.94,9504.94,688025,9504.94,478763.94
洁特生物,211106.28,14027.36,688026,14036.32,210971.46
国盾量子,2523180.35,8037.44,688027,10286.10,1971583.30
沃尔德,337131.18,15076.94,688028,15199.78,334406.60
南微医学,1167096.03,18784.74,688029,18784.74,1167096.03
山石网科,283145.51,18023.27,688030,18023.27,283145.51
星环科技,605163.06,9396.61,688031,12112.95,469454.86
禾迈股份,1256616.86,12407.35,688032,12407.35,1256616.86
天宜上佳,320453.20,56219.86,688033,56219.86,320453.20
德邦科技,562274.72,8881.76,688035,14224.00,351096.06
传音控股,8946050.26,114035.06,688036,114035.06,8946050.26
芯源微,1889697.58,20113.86,688037,20113.86,1889697.58
中科通达,194343.58,11637.34,688038,11637.34,194343.58
当虹科技,364401.45,11191.69,688039,11191.69,364401.45
海光信息,33442576.45,88655.72,688041,232433.81,12755784.72
必易微,227042.75,3769.51,688045,6983.78,122546.67
药康生物,496920.00,41000.00,688046,41000.00,496920.00
龙芯中科,5198564.00,27964.47,688047,40100.00,3625314.27
长光华芯,1092054.25,10620.99,688048,17627.99,657970.60
炬芯科技,756694.30,11226.81,688049,14613.64,581324.14
爱博医疗,1500244.94,18954.45,688050,18954.45,1500244.94
佳华科技,175238.84,7733.40,688051,7733.40,175238.84
纳芯微,2640481.75,14252.84,688052,14252.84,2640481.75
思科瑞,286800.00,4327.38,688053,10000.00,124109.26
龙腾光电,1140000.02,333333.34,688055,333333.34,1140000.02
莱伯泰科,234667.11,6745.25,688056,6745.25,234667.11
金达莱,316848.00,27600.00,688057,27600.00,316848.00
宝兰德,219356.70,7773.09,688058,7773.09,219356.70
华锐精密,392406.58,6225.71,688059,6225.71,392406.58
云涌科技,203745.61,6019.07,688060,6019.07,203745.61
灿瑞科技,333523.90,4329.78,688061,11488.94,125693.43
迈威生物,798800.40,20417.00,688062,39960.00,408135.83
派能科技,1072956.00,24535.92,688063,24535.92,1072956.00
凯赛生物,3686512.14,58337.80,688065,72128.98,2981645.16
航天宏图,470299.33,26127.74,688066,26127.74,470299.33
爱威科技,133620.00,6800.00,688067,6800.00,133620.00
热景生物,1011673.13,9247.47,688068,9247.47,1011673.13
德林海,182495.00,11300.00,688069,11300.00,182495.00
纵横股份,359691.06,8758.00,688070,8758.00,359691.06
华依科技,332884.46,8478.97,688071,8478.97,332884.46
拓荆科技,4364333.70,27972.91,688072,27972.91,4364333.70
毕得医药,374801.28,4323.42,688073,9088.29,178297.73
安旭生物,461818.91,12708.28,688075,12708.28,461818.91
诺泰生物,1194964.04,22487.09,688076,22487.09,1194964.04
大地熊,287112.09,11447.85,688077,11447.85,287112.09
龙软科技,232091.31,7289.30,688078,7289.30,232091.31
