abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
深物业B,158530.44,6760.52,200011,59597.91,17982.99
南 玻Ｂ,546583.19,110936.91,200012,307069.21,197467.69
深康佳Ｂ,257650.16,81135.16,200016,240794.54,86814.62
深中华B,89594.04,24836.30,200017,68918.49,32287.19
深粮B,366506.21,5174.93,200019,115253.53,16456.27
深华发Ｂ,66542.89,10199.58,200020,28316.12,23969.02
特 力Ｂ,191389.89,3828.00,200025,43105.83,16996.32
飞亚达Ｂ,276731.05,4058.09,200026,40576.40,27676.20
一致Ｂ,670660.92,7134.93,200028,55656.51,85975.94
深深房Ｂ,266066.58,12000.00,200029,101166.00,31560.00
富奥B,529459.50,4781.89,200030,174164.31,14536.95
深南电B,101264.12,26385.44,200037,60276.26,44327.55
深纺织Ｂ,196530.48,4942.80,200045,50652.18,19178.06
方大Ｂ,165376.63,39415.88,200055,107387.42,60700.45
皇庭B,119435.35,24323.50,200056,118252.82,24566.74
深赛格B,204379.31,24637.96,200058,123120.07,40899.02
粤高速Ｂ,1674735.71,34875.00,200429,209080.61,279348.75
宁通信B,87935.00,10000.00,200468,21500.00,40900.00
ST晨鸣B,144131.35,70638.53,200488,294145.62,34612.88
京粮B,151932.60,6497.50,200505,72695.03,13579.78
闽灿坤Ｂ,58769.16,18539.17,200512,18539.17,58769.16
虹美菱B,453166.43,14818.98,200521,102992.37,65203.53
冰山B,133227.58,24150.00,200530,84321.25,38157.00
粤电力Ｂ,887297.99,79840.80,200539,525028.40,134930.95
粤照明Ｂ,360907.88,29474.56,200541,153577.82,69265.22
江 铃Ｂ,850265.79,34400.00,200550,86321.40,338840.00
安道麦B,477611.41,15273.98,200553,232981.18,31311.66
苏常柴Ｂ,122084.80,15000.00,200570,70569.25,25950.00
苏威孚Ｂ,1226293.14,17238.00,200581,99698.63,212027.40
古井贡Ｂ,6396060.00,12000.00,200596,52860.00,1452000.00
长 安Ｂ,3678125.93,164161.48,200625,991408.61,609039.08
瓦轴B,98234.40,15860.00,200706,40260.00,38698.40
京东方Ｂ,9712414.18,69288.41,200725,3764501.62,178764.10
鲁 泰Ｂ,343268.52,22606.85,200726,81730.60,94948.78
本钢板Ｂ,513528.99,40000.00,200761,410823.20,50000.00
杭汽轮Ｂ,1256018.22,41511.52,200771,117494.69,443758.13
张 裕Ｂ,554926.54,21186.85,200869,67182.39,175003.39
中 鲁Ｂ,57737.48,13800.00,200992,26607.13,29946.00
招港B,3066697.74,17989.54,201872,250138.48,220551.80
