abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
平安银行,21637598.79,1940557.18,000001,1940591.82,21637212.61
万 科Ａ,8089021.02,971693.59,000002,1193070.95,6588082.52
深振业Ａ,869396.81,134998.74,000006,134999.50,869391.88
神州高铁,747003.86,271623.39,000008,271637.77,746964.33
中国宝安,2071108.81,255143.03,000009,257921.40,2048798.55
深物业A,500026.46,52647.55,000011,59597.91,441712.98
南 玻Ａ,1470861.52,195926.73,000012,307069.21,938489.05
深康佳Ａ,1297882.57,159659.38,000016,240794.54,860564.06
深粮控股,780266.37,41621.64,000019,115253.53,281778.51
深科技,2837148.24,156042.37,000021,156058.76,2836850.31
特 力Ａ,738833.96,39277.83,000025,43105.83,673222.04
深圳能源,3135119.95,475738.99,000027,475738.99,3135119.95
国药一致,1384733.91,47805.37,000028,55656.51,1189397.64
深深房Ａ,1699588.80,89166.00,000029,101166.00,1497988.80
富奥股份,1067627.21,169241.19,000030,174164.31,1037448.47
大悦城,1123014.09,400288.72,000031,428631.33,1048756.44
深桑达Ａ,2562684.19,64476.38,000032,113795.92,1452008.10
神州数码,2921858.85,59436.80,000034,71126.07,2441663.92
中国天楹,1105346.17,242579.41,000035,250078.32,1072200.99
华联控股,537184.12,148126.63,000036,148393.40,536218.39
中集集团,4146848.18,230140.71,000039,539252.04,1769782.09
深纺织Ａ,515132.72,45700.08,000045,50652.18,464769.86
京基智农,854284.70,52675.98,000048,53028.22,848609.96
德赛电池,828126.76,38453.49,000049,38463.85,827903.56
深天马Ａ,2025184.07,245771.86,000050,245774.77,2025160.16
深 赛 格,1024358.96,98471.16,000058,123120.07,819280.05
华锦股份,838107.89,159944.25,000059,159944.25,838107.89
中金岭南,1693131.35,373731.42,000060,373759.68,1693003.31
农 产 品,1104723.65,169693.30,000061,169696.41,1104703.39
深圳华强,2996530.21,104492.90,000062,104590.93,2993721.58
中兴通讯,15551271.92,402737.37,000063,478353.49,13092991.93
北方国际,1151739.81,97496.23,000065,107138.59,1048084.46
中国长城,4790311.65,322558.98,000066,322579.91,4790000.91
华侨城Ａ,1888873.14,689826.71,000069,803775.81,1621092.78
海王生物,610420.60,262644.11,000078,263112.33,609334.34
盐 田 港,2376163.89,224913.55,000088,519948.33,1027854.91
深圳机场,1404777.11,205074.24,000089,205076.95,1404758.55
天健集团,668939.27,186845.99,000090,186854.54,668908.66
广聚能源,879648.00,51084.80,000096,52800.00,851072.77
中信海直,1788925.94,77577.01,000099,77577.01,1788925.94
TCL科技,8018667.49,1809962.17,000100,1877908.08,7728538.46
川能动力,1931092.09,184616.83,000155,184616.83,1931092.09
华数传媒,1432316.78,169987.59,000156,185293.24,1314004.05
中联重科,6621308.08,707041.74,000157,867799.22,5394728.45
常山北明,3974161.17,158780.34,000158,159861.67,3947279.15
申万宏源,11868933.72,2253550.73,000166,2503994.46,10681830.47
东方盛虹,5969934.15,660854.82,000301,661122.28,5967519.01
美的集团,58095850.22,690088.39,000333,766436.02,52308699.59
潍柴动力,13073506.94,498174.48,000338,871567.13,7472617.26
许继电气,2221145.99,100832.21,000400,101887.43,2198142.09
冀东水泥,1254677.67,159194.48,000401,265821.54,751397.92
金 融 街,818966.79,298831.75,000402,298892.99,818798.99
派林生物,1599591.91,72694.01,000403,73107.49,1590545.04
藏格矿业,5743885.78,157020.92,000408,157022.57,5743825.42
云鼎科技,772909.18,42334.32,000409,67799.05,482611.30
沈阳机床,1443257.88,168091.59,000410,206474.66,1174960.24
英特集团,552684.17,32268.70,000411,52189.25,341725.58
渤海租赁,1960493.25,539295.57,000415,618452.13,1709566.97
吉林化纤,904863.55,245802.81,000420,245886.83,904554.36
湖北宜化,1268701.38,105781.72,000422,108250.97,1239761.75
东阿阿胶,3590814.77,64397.68,000423,64397.68,3590814.77
徐工机械,10528203.99,812009.22,000425,1181616.61,7235002.16
兴业银锡,2313653.37,177520.55,000426,177563.57,2313092.72
粤高速Ａ,3006579.21,130332.90,000429,209080.61,1874187.11
山东路桥,892891.10,145790.42,000498,156099.84,833921.19
武商集团,711318.28,76829.39,000501,76899.27,710671.85
国新健康,1037247.35,95506.92,000503,98131.25,1009508.17
珠海港,484700.29,90233.22,000507,91973.49,475529.06
丽珠集团,3212493.70,58433.31,000513,91134.57,2059774.01
国际医学,1157315.95,222416.43,000516,226038.27,1138772.14
荣安地产,598577.43,249198.64,000517,318392.25,468493.45
中兵红箭,2442548.45,139255.90,000519,139255.90,2442548.45
长虹美菱,804370.42,87557.98,000521,102992.37,683827.82
红棉股份,613046.47,132516.02,000523,183546.85,442603.49
岭南控股,782803.64,67000.01,000524,67020.86,782560.16
学大教育,657928.13,11779.83,000526,12186.11,635992.80
柳 工,2063664.21,201843.96,000528,201924.09,2062845.30
穗恒运Ａ,654000.04,90974.55,000531,104140.13,571320.17
万泽股份,794468.40,49740.67,000534,50410.43,783912.94
华映科技,1255778.89,276308.25,000536,276603.28,1254439.46
中绿电,1775211.42,206660.24,000537,206660.24,1775211.42
云南白药,10181002.41,177269.52,000538,178426.26,10114999.07
粤电力Ａ,2304874.67,255389.66,000539,525028.40,1121160.63
佛山照明,999791.63,118373.72,000541,153577.82,770612.90
皖能电力,1706948.09,226686.33,000543,226686.33,1706948.09
中原环保,802165.33,97468.45,000544,97468.45,802165.33
航天发展,1182866.52,158835.07,000547,159846.83,1175379.51
江铃汽车,1673771.95,51846.32,000550,86321.40,1005300.07
甘肃能化,1289784.43,372577.80,000552,535180.26,897912.51
安道麦A,1495739.15,217707.20,000553,232981.18,1397680.20
神州信息,1094818.92,97218.73,000555,97577.44,1090794.14
西部创业,783147.23,145791.62,000557,145837.47,782901.00
万向钱潮,2788399.89,330377.88,000559,330379.13,2788389.30
我爱我家,746693.77,225527.24,000560,235550.09,714921.35
烽火电子,606148.60,60313.44,000561,75111.35,486729.44
陕国投Ａ,1723408.01,511397.04,000563,511397.04,1723408.01
供销大集,4785386.79,1471503.07,000564,1805806.34,3899483.14
海南海药,682414.06,116590.97,000566,129736.51,613268.52
海德股份,1092617.01,194993.06,000567,195459.22,1090011.18
泸州老窖,18599579.19,146936.11,000568,147195.15,18566847.40
海马汽车,633185.02,164225.31,000572,164463.64,632267.43
威孚高科,1973035.87,82406.76,000581,99698.63,1630829.88
北部湾港,1981867.98,180986.36,000582,232613.61,1542003.75
贵州轮胎,715417.58,153783.85,000589,155525.56,707405.71
太阳能,1723831.05,360321.88,000591,391779.78,1585416.26
古井贡酒,8703399.00,40860.00,000596,52860.00,6727599.00
东北制药,741704.59,140654.00,000597,142910.33,729994.27
兴蓉环境,2154761.87,297484.07,000598,298443.47,2147835.00
建投能源,1208611.98,109005.09,000600,180929.94,728153.99
韶能股份,656975.41,108046.01,000601,108055.17,656919.71
盛达资源,925938.86,66671.64,000603,68996.93,894733.35
焦作万方,813079.99,119142.01,000612,119219.94,812548.54
中油资本,9026444.46,1264207.91,000617,1264207.91,9026444.46
新华联,986464.93,467172.67,000620,587181.50,784850.09
吉林敖东,1922999.78,119107.93,000623,119589.54,1915255.58
长安汽车,12233982.20,826072.78,000625,991408.61,10193738.08
天茂集团,1353732.39,455250.42,000627,494062.92,1247386.14
高新发展,1652193.20,19208.26,000628,35228.00,900867.32
钒钛股份,2444577.12,929027.07,000629,929497.00,2443341.20
铜陵有色,4055740.11,1052767.66,000630,1279413.28,3337273.48
顺发恒业,675468.70,239527.91,000631,239527.91,675468.70
风华高科,1566595.89,115701.31,000636,115701.32,1566595.79
仁和药业,760166.46,133138.58,000650,139993.82,722942.51
格力电器,26326606.98,551494.98,000651,560140.57,25920264.13
泰达股份,556291.34,147446.24,000652,147557.39,555872.31
中钨高新,2363275.69,124730.91,000657,227895.44,1293459.58
长春高新,3908041.53,39962.68,000661,40793.75,3828424.80
湖北广电,567437.60,113711.03,000665,113714.95,567418.05
盈方微,575889.70,72210.67,000670,83948.94,495365.20
上峰水泥,829802.51,96939.54,000672,96939.54,829802.51
智度股份,1056516.49,126452.84,000676,126528.92,1055881.20
山推股份,1371299.25,131470.18,000680,150032.74,1201637.45
视觉中国,1506241.49,67609.38,000681,70057.74,1453601.66
东方电子,1305868.10,134059.47,000682,134072.70,1305739.20
远兴能源,1921936.75,331845.95,000683,373917.66,1705688.19
中山公用,1274496.21,125396.22,000685,147511.14,1083423.31
东北证券,1750658.78,234045.29,000686,234045.29,1750658.78
国城矿业,1317839.82,112539.26,000688,112539.69,1317834.76
宝新能源,966094.21,217447.14,000690,217588.79,965465.29
模塑科技,669233.22,91801.54,000700,91801.54,669233.22
恒逸石化,2207125.44,364735.36,000703,366632.13,2195706.84
中信特钢,5773947.85,504715.72,000708,504715.72,5773947.85
河钢股份,2284503.76,1033541.24,000709,1033712.11,2284126.14
锦龙股份,1040256.00,89573.41,000712,89600.00,1039947.32
中南股份,618080.63,242353.62,000717,242384.56,618001.73
苏宁环球,655481.46,228209.31,000718,303463.64,492932.11
中原传媒,1289236.72,66714.75,000719,102320.37,840605.90
西安饮食,514227.22,51236.03,000721,57391.43,459074.84
湖南发展,528212.12,46415.83,000722,46415.83,528212.12
美锦能源,1880280.32,439623.54,000723,440346.68,1877192.52
京东方Ａ,14530976.25,3693976.41,000725,3764501.62,14258748.96
冠捷科技,1105214.34,452956.70,000727,452956.70,1105214.34
国元证券,3290288.53,436377.71,000728,436377.79,3290287.96
燕京啤酒,3678193.84,250960.67,000729,281853.93,3275036.70
振华科技,2774726.34,55376.82,000733,55416.94,2772717.53
罗 牛 山,692059.66,115089.75,000735,115151.36,691689.41
北方铜业,1710435.36,177226.92,000737,190471.64,1591497.73
航发控制,2509371.07,131515.26,000738,131518.40,2509311.12
普洛药业,1624190.45,116888.84,000739,116932.36,1623585.99
国海证券,2439518.65,579620.40,000750,638617.45,2214149.92
锌业股份,473379.76,140986.88,000751,161563.06,413091.55
山西高速,757132.06,146731.02,000755,146731.02,757132.06
新华制药,956030.28,49262.39,000756,68977.65,682776.76
中色股份,960549.54,196931.40,000758,199284.14,949209.32
本钢板材,1618643.39,370823.20,000761,410823.20,1461043.39
西藏矿业,987625.00,52080.06,000762,52117.41,986917.17
通化金马,1681700.79,96600.77,000766,96649.47,1680853.36
晋控电力,953852.09,291224.64,000767,307694.22,902796.40
中航西飞,6741505.35,277272.59,000768,278114.91,6721087.48
广发证券,11994418.37,590404.93,000776,760584.55,9310685.76
中核科技,666379.78,38341.08,000777,38341.76,666368.02
新兴铸管,1367297.89,389362.48,000778,396318.23,1343300.54
长江证券,3589017.34,553007.29,000783,553007.29,3589017.34
居然智家,2110969.55,589794.41,000785,622704.88,1999403.07
北新建材,4980669.12,163244.79,000786,168950.78,4812456.51
甘肃能源,2222030.22,160052.48,000791,324383.97,1096359.48
盐湖股份,8440058.20,529154.52,000792,529157.25,8440014.67
英洛华,1207373.57,113368.41,000795,113368.41,1207373.57
凯撒旅业,599817.05,133076.68,000796,160378.89,497706.79
中国武夷,427245.15,157057.40,000797,157075.42,427196.14
酒鬼酒,1428062.87,32490.05,000799,32492.90,1427937.61
一汽解放,3558874.36,492082.59,000800,492237.12,3557757.14
四川九洲,1621148.53,102280.66,000801,102280.66,1621148.53
