abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
速达股份,282644.00,1900.00,001277,7600.00,70661.00
强邦新材,647360.00,3762.40,001279,16000.00,152226.57
信凯科技,350023.52,2296.36,001335,9373.96,85746.16
富岭股份,856871.28,12147.00,001356,58932.00,176617.42
新亚电缆,906400.00,6013.95,001382,41200.00,132306.88
国货航,8448545.81,83894.39,001391,1220888.12,580549.21
亚联机械,423986.40,1929.04,001395,8724.00,93751.36
江顺科技,335460.00,1500.00,001400,6000.00,83865.00
利安科技,298059.28,1406.00,300784,5623.76,74518.00
毓恬冠佳,407992.52,1686.19,301173,8783.48,78323.63
汉朔科技,2394163.20,3176.08,301275,42240.00,180019.95
汇成真空,1229900.00,2250.00,301392,10000.00,276727.50
钧崴电子,833333.44,6108.50,301458,26666.67,190890.76
弘景光电,832651.98,1420.34,301479,6354.67,186107.64
恒鑫生活,583440.00,2418.44,301501,10200.00,138334.66
上大股份,1233481.73,7437.33,301522,37186.67,246696.35
浙江华远,835702.94,5990.10,301535,42529.41,117705.51
无线传媒,1914447.86,3788.23,301551,40001.00,181304.88
科力装备,355912.00,1448.33,301552,6800.00,75805.77
托普云农,747393.92,1935.45,301556,8528.00,169622.69
常友科技,323181.61,1108.00,301557,4430.79,80817.52
众捷汽车,484332.80,2309.96,301560,12160.00,92005.71
中仑新材,810820.27,6001.00,301565,40001.00,121640.27
国科天成,831818.51,3588.52,301571,17942.59,166363.70
爱迪特,403422.89,1902.94,301580,7611.75,100855.72
黄山谷捷,408480.00,2000.00,301581,8000.00,102120.00
蓝宇股份,355840.00,1896.58,301585,8000.00,84359.68
佳力奇,443752.99,2074.39,301586,8297.55,110938.25
六九一二,1000160.00,1750.00,301592,7000.00,250040.00
瑞迪智驱,683353.86,1377.95,301596,5511.81,170838.46
博科测试,362806.89,1472.43,301598,5889.72,90701.72
慧翰股份,1113280.50,1755.00,301600,7015.00,278518.50
惠通科技,469343.68,2997.21,301601,14048.00,100136.81
超研股份,1061400.84,5477.64,301602,42832.96,135736.04
乔锋智能,623363.12,2415.20,301603,12076.00,124672.62
绿联科技,1657979.58,3320.19,301606,41490.98,132674.86
富特科技,514219.49,2359.06,301607,11101.46,109271.65
博实结,728561.13,1780.27,301608,8899.00,145750.70
珂玛科技,2460348.00,6000.00,301611,43600.00,338580.00
新铝时代,681615.72,2397.36,301613,9589.42,170404.35
浙江华业,350480.00,2000.00,301616,8000.00,87620.00
博苑股份,486655.20,2437.33,301617,10280.00,115383.23
长联科技,541617.36,1611.00,301618,6443.99,135404.55
英思特,823696.01,2748.81,301622,11593.19,195302.84
苏州天脉,839258.40,2602.80,301626,11568.00,188833.14
强达电路,596976.34,1884.40,301628,7537.58,149244.48
矽电股份,717208.39,1043.18,301629,4172.73,179302.10
壹连科技,722958.74,1302.83,301631,6529.61,144249.36
港迪技术,386474.88,1392.00,301633,5568.00,96618.72
首航新能,1170309.28,3872.80,301658,41237.11,109910.09
宏工科技,426480.00,1577.63,301662,8000.00,84103.59
泰禾股份,1240650.00,3590.63,301665,45000.00,98993.64
天和磁材,1419976.44,6474.56,603072,26428.00,347878.25
众鑫股份,455678.30,2044.78,603091,10223.88,91135.67
肯特催化,330050.40,2214.38,603120,9040.00,80847.09
江南新材,617230.92,2863.75,603124,14574.52,121279.84
中力股份,1391470.00,4982.84,603194,40100.00,172904.67
天有为,1576640.00,3254.37,603202,16000.00,320685.15
健尔康,461640.00,3000.00,603205,12000.00,115410.00
小方制药,439131.51,4000.00,603207,16056.00,109400.00
泰鸿万立,719946.00,7358.76,603210,34040.00,155637.70
中国瑞林,640440.00,2440.02,603257,12000.00,130223.67
永杰新材,730814.80,3857.04,603271,19672.00,143288.93
键邦股份,370240.00,4000.00,603285,16000.00,92560.00
巍华新材,629554.82,6907.20,603310,34534.00,125918.26
安乃达,427243.05,2900.00,603350,11641.50,106430.00
永臻股份,513897.20,5338.27,603381,23725.63,115626.91
力聚热能,345982.00,2275.00,603391,9100.00,86495.50
红四方,892000.00,4034.96,603395,20000.00,179959.06
汇通控股,452069.61,3087.59,603409,12603.00,110751.84
海博思创,1279479.34,3564.94,688411,17773.01,256640.21
联芸科技,1867140.00,6509.75,688449,46000.00,264230.74
欧莱新材,250150.06,6777.82,688530,16004.48,105937.33
兴福电子,983880.00,6842.33,688545,36000.00,187000.94
思看科技,766700.00,1278.03,688583,6800.00,144098.41
先锋精科,1230874.28,3804.51,688605,20237.99,231390.46
合合信息,2347900.00,2000.00,688615,10000.00,469580.00
达梦数据,2579364.00,1520.00,688692,7600.00,515872.80
佳驰科技,2206855.17,3571.06,688708,40001.00,197015.24
益诺思,435063.09,2819.59,688710,14097.96,87012.62
龙图光罩,596478.00,2670.00,688721,13350.00,119295.60
拉普拉斯,1657784.11,3631.14,688726,40532.62,148513.83
金天钛业,887537.50,7742.03,688750,46250.00,148569.57
胜科纳米,968350.88,3257.47,688757,40331.15,78211.93
赛分科技,674671.82,3950.43,688758,41646.41,63996.94
