abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
浦发银行,34635571.22,2935217.90,600000,2935217.90,34635571.22
白云机场,2146613.48,236671.83,600004,236671.83,2146613.48
中国国贸,2190839.51,100728.25,600007,100728.25,2190839.51
上海机场,7983048.14,191869.59,600009,248848.13,6155176.60
包钢股份,8151951.48,3138079.83,600010,4528861.93,5648543.69
华能国际,11695079.55,1099770.99,600011,1569809.34,8193293.89
皖通高速,2894274.45,116560.00,600012,165861.00,2033972.00
华夏银行,11665642.57,1538722.40,600015,1591492.85,11278835.18
民生银行,17907009.17,3546212.32,600016,4378241.85,14504008.39
上港集团,13107408.64,2321457.78,600018,2328136.53,13069807.28
宝钢股份,15182690.29,2178208.47,600019,2190864.40,15094984.73
中原高速,1060759.50,224737.18,600020,224737.18,1060759.50
上海电力,2577320.44,261716.42,600021,281674.36,2394705.24
华能水电,17640000.00,1800000.00,600025,1800000.00,17640000.00
中远海能,4971149.00,347477.64,600026,477077.64,3620717.00
华电国际,6003578.39,851032.75,600027,1022756.11,4995562.26
中国石化,69009205.19,9484182.49,600028,12128155.57,53964998.34
南方航空,10419526.63,1267334.71,600029,1812091.59,7287174.61
中信证券,37866497.15,1217655.10,600030,1482054.68,31111087.74
三一重工,16712656.69,846421.58,600031,847497.80,16691433.63
招商银行,109655888.67,2062894.44,600036,2521984.56,89694650.38
中直股份,3036064.57,66893.52,600038,81989.32,2477067.12
四川路桥,8082916.64,670363.94,600039,871003.95,6220977.40
保利发展,9875615.82,1197044.34,600048,1197044.34,9875615.82
中国联通,16976582.95,3076682.61,600050,3126442.53,16706386.59
九鼎投资,629067.70,43354.08,600053,43354.08,629067.70
中国医药,1525797.34,149535.15,600056,149587.97,1525258.51
海信视像,3267650.52,129509.44,600060,130497.23,3242916.35
国投资本,4462998.95,639398.13,600061,639398.13,4462998.95
华润双鹤,1955090.33,103263.08,600062,103883.65,1943411.21
宇通客车,5860297.12,221393.92,600066,221393.92,5860297.12
葛洲坝,4572543.97,460477.74,600068,460477.74,4572543.97
中船科技,1828917.38,108333.73,600072,150652.17,1315171.50
光明肉业,736117.64,93772.95,600073,93772.95,736117.64
新疆天业,717092.32,170736.27,600075,170736.27,717092.32
同仁堂,5016838.22,137147.03,600085,137147.03,5016838.22
特变电工,5871344.97,505279.26,600089,505279.26,5871344.97
退市易见,56122.38,112244.75,600093,112244.75,56122.38
