abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
*ST富润,21311.67,50672.07,600070,50742.07,21282.27
凤凰光学,582013.23,28157.39,600071,28157.39,582013.23
*ST宋都,54945.02,134012.23,600077,134012.23,54945.02
*ST博信,21160.00,22799.33,600083,23000.00,20975.39
退市明科,33243.35,43741.25,600091,43741.25,33243.35
ST尔雅,127440.00,36000.00,600107,36000.00,127440.00
*ST天成,37171.95,50920.48,600112,50920.48,37171.95
*ST宏图,44013.82,115825.84,600122,115825.84,44013.82
*ST波导,217500.00,75000.00,600130,75000.00,217500.00
ST明诚,420410.14,194308.95,600136,204082.59,400276.44
*ST西源,48979.90,66189.05,600139,66189.05,48979.90
退市新亿,50697.41,149110.04,600145,149110.04,50697.41
中闽能源,1059968.85,190299.61,600163,190299.61,1059968.85
ST宁科,350660.49,68488.38,600165,68488.38,350660.49
*ST锦港,186213.11,177948.45,600190,200229.15,165492.06
*ST创兴,153559.65,42537.30,600193,42537.30,153559.65
*ST苏吴,192993.15,71087.95,600200,71215.18,192648.34
*ST亚星,181896.00,28600.00,600213,28600.00,181896.00
中再资环,750917.11,165765.37,600217,165765.37,750917.11
ST阳光,65983.59,178334.03,600220,178334.03,65983.59
*ST返利,138779.16,41666.94,600228,41927.24,137917.56
*ST科新,200566.02,26252.10,600234,26252.10,200566.02
*ST椰岛,224100.00,44500.16,600238,44820.00,222500.79
退市中昌,11416.63,45129.45,600242,45666.51,11282.36
*ST海华,109712.50,43885.00,600243,43885.00,109712.50
*ST凯乐,46759.64,99488.61,600260,99488.61,46759.64
ST景谷,199243.00,12980.00,600265,12980.00,199243.00
ST亿利,135303.64,356062.22,600277,356062.22,135303.64
ST舜天,208452.79,43679.61,600287,43884.80,207478.14
*ST信通,364748.10,56592.27,600289,63105.21,327103.31
*ST华仪,28116.43,75990.35,600290,75990.35,28116.43
华锡有色,1224018.07,27533.57,600301,63256.75,532774.54
*ST荣华,40601.60,66560.00,600311,66560.00,40601.60
*ST精伦,125974.84,49208.92,600355,49208.92,125974.84
ST联合,224191.88,50493.67,600358,50493.67,224191.88
*ST华微,625152.24,96029.53,600360,96029.53,625152.24
ST通葡,135058.40,41872.00,600365,42740.00,132315.52
*ST春天,219560.72,58706.07,600381,58706.07,219560.72
*ST海越,65072.08,40404.85,600387,46814.45,56162.74
ST粤泰,93841.17,133734.42,600393,253624.79,49481.74
安泰集团,187264.80,100680.00,600408,100680.00,187264.80
*ST华嵘,103081.20,19560.00,600421,19560.00,103081.20
国机通用,222268.49,14642.19,600444,14642.19,222268.49
*ST九有,59239.68,60046.50,600462,61708.00,57644.64
*ST蓝光,121397.22,303493.04,600466,303493.04,121397.22
*ST信威,985301.32,189500.00,600485,292374.28,638615.01
ST长园,419372.09,131878.02,600525,131878.02,419372.09
狮头股份,277380.00,23000.00,600539,23000.00,277380.00
ST迪马,211778.03,249150.63,600565,249150.63,211778.03
ST中珠,267044.54,166906.73,600568,199286.97,223655.02
*ST熊猫,127820.00,16600.00,600599,16600.00,127820.00
ST广物,859196.99,119332.92,600603,119332.92,859196.99
*ST沪科,112799.47,31837.14,600608,32886.14,109201.40
*ST国化,324152.60,43863.68,600636,43863.68,324152.60
乐山电力,643092.75,53840.07,600644,57832.08,598701.53
ST目药,164036.16,12172.05,600671,12177.89,163957.56
阳煤化工,513212.10,237558.60,600691,237598.20,513126.57
*ST岩石,200681.66,33446.94,600696,33446.94,200681.66
苏美达,1250559.21,130674.94,600710,130674.94,1250559.21
ST盛屯,1743104.91,309061.16,600711,309061.16,1743104.91
文投控股,941886.01,266237.22,600715,405985.35,617670.36
金牛化工,351044.95,68031.97,600722,68031.97,351044.95
爱旭股份,1920826.17,159844.72,600732,182761.77,1679968.05
*ST庚星,127590.18,23030.72,600753,23030.72,127590.18
ST新潮,2182959.16,636615.24,600777,680049.58,2043534.92
水井坊,2281027.46,48750.32,600779,48750.32,2281027.46
宜宾纸业,442436.91,17690.40,600793,17690.40,442436.91
*ST鹏博,102762.76,139263.00,600804,165746.39,86343.06
*ST东方,131714.82,365874.49,600811,365874.49,131714.82
宇通重工,610397.76,52724.93,600817,53684.94,599482.51
*ST世茂,161300.24,375116.83,600823,375116.83,161300.24
ST广网,198354.21,71094.70,600831,71094.70,198354.21
*ST易连,30102.89,66524.31,600836,66895.31,29935.94
退市厦华,31391.98,52319.97,600870,52319.97,31391.98
*ST大晟,149936.40,55931.95,600892,55946.42,149897.64
*ST美讯,21118.19,25252.38,600898,28538.10,18686.76
国投中鲁,382826.60,26221.00,600962,26221.00,382826.60
建设机械,421109.71,125704.39,600984,125704.39,421109.71
*ST庞大,409089.00,1022722.51,601258,1022722.51,409089.00
*ST龙宇,144496.64,37629.33,603003,37629.33,144496.64
*ST花王,462124.25,49983.08,603007,87689.61,263410.82
ST华鹏,109742.19,31994.81,603021,31994.81,109742.19
*ST威帝,205387.21,55811.74,603023,55811.74,205387.21
*ST立航,137974.40,7750.50,603261,7790.76,137261.39
*ST松发,484755.00,12416.88,603268,12416.88,484755.00
*ST傲农,1020361.04,159796.18,603363,260296.18,626401.04
ST东时,217319.66,71486.73,603377,71486.73,217319.66
*ST元成,122475.82,32573.36,603388,32573.36,122475.82
*ST亚振,195487.49,26275.20,603389,26275.20,195487.49
*ST沐邦,264087.69,43364.15,603398,43364.15,264087.69
ST贵人,105290.86,157150.54,603555,157150.54,105290.86
ST起步,172692.02,62343.69,603557,62343.69,172692.02
*ST通脉,321021.58,40127.70,603559,40127.70,321021.58
*ST艾艾,181113.06,13067.32,603580,13067.32,181113.06
*ST天择,214500.00,13000.00,603721,13000.00,214500.00
*ST星农,138741.57,26000.00,603789,27045.14,133380.00
*ST原尚,147756.11,8994.20,603813,10501.50,126548.39
ST柯利达,300363.92,59593.96,603828,59596.02,300353.57
*ST四通,166408.32,32001.60,603838,32001.60,166408.32
*ST正平,167209.95,69962.32,603843,69962.32,167209.95
ST智知,304718.31,50450.05,603869,50450.05,304718.31
ST百利,169643.45,49029.90,603959,49029.90,169643.45
*ST大药,25924.60,21970.00,603963,21970.00,25924.60
*ST太和,131932.84,11324.71,605081,11324.71,131932.84
ST葫芦娃,405710.27,40010.88,605199,40010.88,405710.27
ST帕瓦,143460.86,10048.75,688184,15904.75,90639.74
*ST观典,176735.94,37051.56,688287,37051.56,176735.94
*ST天微,160927.61,10282.91,688511,10282.91,160927.61
ST逸飞,255321.28,5803.34,688646,9516.26,155703.51
*ST锦港B,11012.60,22280.70,900952,200229.15,1225.44
*ST凌云B,4990.70,18400.00,900957,34900.00,2631.20
