abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
浦发银行,34635571.22,2935217.90,600000,2935217.90,34635571.22
白云机场,2146613.48,236671.83,600004,236671.83,2146613.48
东风股份,1418000.00,200000.00,600006,200000.00,1418000.00
中国国贸,2190839.51,100728.25,600007,100728.25,2190839.51
首创环保,2304945.47,734059.07,600008,734059.07,2304945.47
上海机场,7983048.14,191869.59,600009,248848.13,6155176.60
包钢股份,8151951.48,3138079.83,600010,4528861.93,5648543.69
华能国际,11695079.55,1099770.99,600011,1569809.34,8193293.89
皖通高速,2894274.45,116560.00,600012,165861.00,2033972.00
华夏银行,11665642.57,1538722.40,600015,1591492.85,11278835.18
民生银行,17907009.17,3546212.32,600016,4378241.85,14504008.39
日照港,938074.44,307565.39,600017,307565.39,938074.44
上港集团,13107408.64,2321457.78,600018,2328136.53,13069807.28
宝钢股份,15182690.29,2178208.47,600019,2190864.40,15094984.73
中原高速,1060759.50,224737.18,600020,224737.18,1060759.50
上海电力,2577320.44,261716.42,600021,281674.36,2394705.24
山东钢铁,1433645.84,1069884.96,600022,1069884.96,1433645.84
浙能电力,7120037.09,1340873.27,600023,1340873.27,7120037.09
华能水电,17640000.00,1800000.00,600025,1800000.00,17640000.00
中远海能,4971149.00,347477.64,600026,477077.64,3620717.00
华电国际,6003578.39,851032.75,600027,1022756.11,4995562.26
中国石化,69009205.19,9484182.49,600028,12128155.57,53964998.34
南方航空,10419526.63,1267334.71,600029,1812091.59,7287174.61
中信证券,37866497.15,1217655.10,600030,1482054.68,31111087.74
三一重工,16712656.69,846421.58,600031,847497.80,16691433.63
浙江新能,1856409.35,240467.53,600032,240467.53,1856409.35
福建高速,1020916.80,274440.00,600033,274440.00,1020916.80
楚天高速,726162.27,161011.59,600035,161011.59,726162.27
招商银行,109655888.67,2062894.44,600036,2521984.56,89694650.38
歌华有线,989554.08,139177.79,600037,139177.79,989554.08
中直股份,3036064.57,66893.52,600038,81989.32,2477067.12
四川路桥,8082916.64,670363.94,600039,871003.95,6220977.40
保利发展,9875615.82,1197044.34,600048,1197044.34,9875615.82
中国联通,16976582.95,3076682.61,600050,3126442.53,16706386.59
宁波联合,216994.24,31088.00,600051,31088.00,216994.24
东望时代,352029.21,84419.47,600052,84419.47,352029.21
九鼎投资,629067.70,43354.08,600053,43354.08,629067.70
黄山旅游,836598.22,51330.00,600054,72937.94,588755.10
