,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-30,601998,8.11,7.92,8.15,7.9,1660299,1329760208.0,3.09,-2.22,-0.18,0.52
1,2015-05-04,601998,7.91,7.95,8.03,7.84,1105768,878471088.0,2.4,0.38,0.03,0.35
2,2015-05-05,601998,7.92,7.51,7.94,7.48,1652429,1273191328.0,5.79,-5.53,-0.44,0.52
3,2015-05-06,601998,7.52,7.36,7.7,7.29,1364756,1026118320.0,5.46,-2.0,-0.15,0.43
4,2015-05-07,601998,7.36,7.29,7.48,7.27,958408,705476352.0,2.85,-0.95,-0.07,0.3
5,2015-05-08,601998,7.37,7.37,7.42,7.18,1016393,743675824.0,3.29,1.1,0.08,0.32
6,2015-05-11,601998,7.37,7.55,7.58,7.28,1456251,1079391904.0,4.07,2.44,0.18,0.46
7,2015-05-12,601998,7.55,7.78,7.96,7.46,2572740,1991704480.0,6.62,3.05,0.23,0.81
8,2015-05-13,601998,7.8,7.62,7.85,7.55,1537533,1179119856.0,3.86,-2.06,-0.16,0.48
9,2015-05-14,601998,7.7,7.6,7.74,7.57,1172068,895690560.0,2.23,-0.26,-0.02,0.37
10,2015-05-15,601998,7.58,7.35,7.6,7.3,1146732,849859920.0,3.95,-3.29,-0.25,0.36
11,2015-05-18,601998,7.29,7.25,7.38,7.22,760501,554816272.0,2.18,-1.36,-0.1,0.24
12,2015-05-19,601998,7.21,7.47,7.5,7.21,1156984,857313392.0,4.0,3.03,0.22,0.36
13,2015-05-20,601998,7.5,7.42,7.59,7.39,1479383,1107027520.0,2.68,-0.67,-0.05,0.46
14,2015-05-21,601998,7.41,7.42,7.46,7.35,1175825,869429792.0,1.48,0.0,0.0,0.37
15,2015-05-22,601998,7.46,7.66,7.75,7.45,1829578,1386872176.0,4.04,3.23,0.24,0.57
16,2015-05-25,601998,7.68,7.82,7.84,7.68,2061321,1603211744.0,2.09,2.09,0.16,0.65
17,2015-05-26,601998,7.85,7.88,7.89,7.73,1852043,1445465888.0,2.05,0.77,0.06,0.58
18,2015-05-27,601998,7.91,7.83,7.95,7.76,1551032,1216107648.0,2.41,-0.63,-0.05,0.49
19,2015-05-28,601998,7.82,7.47,8.0,7.44,2924874,2283190384.0,7.15,-4.6,-0.36,0.92
20,2015-05-29,601998,7.47,7.39,7.56,7.2,1756152,1299567920.0,4.82,-1.07,-0.08,0.55
21,2015-06-01,601998,7.4,7.71,7.73,7.3,1826181,1378175712.0,5.82,4.33,0.32,0.57
22,2015-06-02,601998,7.68,7.74,7.8,7.59,1647718,1265317136.0,2.72,0.39,0.03,0.52
23,2015-06-03,601998,7.75,7.89,7.94,7.61,2595498,2025031232.0,4.26,1.94,0.15,0.81
24,2015-06-04,601998,7.87,8.11,8.29,7.71,3968516,3194897792.0,7.35,2.79,0.22,1.24
25,2015-06-05,601998,8.19,8.0,8.27,7.85,3138933,2524702928.0,5.18,-1.36,-0.11,0.98
26,2015-06-08,601998,8.04,8.49,8.55,7.99,4693880,3909880528.0,7.0,6.13,0.49,1.47
27,2015-06-09,601998,8.58,8.49,8.82,8.31,4014464,3442760272.0,6.01,0.0,0.0,1.26
28,2015-06-10,601998,8.37,8.31,8.45,8.25,2022828,1684101744.0,2.36,-2.12,-0.18,0.63
29,2015-06-11,601998,8.32,8.18,8.36,8.06,1833369,1494145536.0,3.61,-1.56,-0.13,0.57
30,2015-06-12,601998,8.18,8.46,8.49,8.07,2744848,2257717568.0,5.13,3.42,0.28,0.86
31,2015-06-15,601998,8.4,8.08,8.4,8.04,2540007,2088445184.0,4.26,-4.49,-0.38,0.8
32,2015-06-16,601998,8.0,8.37,8.41,7.95,3539292,2920510192.0,5.69,3.59,0.29,1.11
33,2015-06-17,601998,8.49,8.54,8.98,8.36,5524535,4744168448.0,7.41,2.03,0.17,1.73
34,2015-06-18,601998,8.34,8.01,8.36,8.0,2894857,2367741328.0,4.22,-6.21,-0.53,0.91
35,2015-06-19,601998,7.87,7.44,8.0,7.36,1917984,1489431056.0,7.99,-7.12,-0.57,0.6
36,2015-06-23,601998,7.5,7.71,7.72,7.19,1487926,1122106480.0,7.12,3.63,0.27,0.47
37,2015-06-24,601998,7.71,7.94,8.05,7.58,1764868,1369265296.0,6.1,2.98,0.23,0.55
38,2015-06-25,601998,8.17,7.66,8.19,7.59,2540618,2020613200.0,7.56,-3.53,-0.28,0.8
39,2015-06-26,601998,7.48,7.17,7.7,6.89,2387669,1749904720.0,10.57,-6.4,-0.49,0.75
40,2015-06-29,601998,7.39,7.26,7.54,6.59,2508841,1821146416.0,13.25,1.26,0.09,0.79
41,2015-06-30,601998,7.4,7.71,7.8,7.2,2597815,1952036512.0,8.26,6.2,0.45,0.81
42,2015-07-01,601998,7.61,7.38,7.75,7.35,1765997,1337627456.0,5.19,-4.28,-0.33,0.55
43,2015-07-02,601998,7.8,8.12,8.12,7.39,5258502,4106935008.0,9.89,10.03,0.74,1.65
44,2015-07-03,601998,7.91,7.63,8.11,7.51,3106904,2450928560.0,7.39,-6.03,-0.49,0.97
45,2015-07-06,601998,8.3,8.27,8.34,7.76,6451652,5242015232.0,7.6,8.39,0.64,2.02
46,2015-07-07,601998,8.0,9.1,9.1,8.0,5510009,4789162752.0,13.3,10.04,0.83,1.73
47,2015-07-08,601998,8.28,9.4,9.62,8.2,7545413,6923373312.0,15.6,3.3,0.3,2.36
48,2015-07-09,601998,9.4,9.79,10.25,8.68,3802649,3597208048.0,16.7,4.15,0.39,1.19
49,2015-07-10,601998,9.41,9.78,10.5,9.18,4337692,4333943296.0,13.48,-0.1,-0.01,1.36
50,2015-07-13,601998,9.38,9.2,9.56,9.06,3435658,3195025088.0,5.11,-5.93,-0.58,1.08
51,2015-07-14,601998,9.0,9.97,10.05,8.71,4426522,4095573920.0,14.57,8.37,0.77,1.39
52,2015-07-15,601998,9.6,10.28,10.47,9.52,4748775,4814360832.0,9.53,3.11,0.31,1.49
53,2015-07-16,601998,10.28,9.88,10.5,9.55,3265049,3268463808.0,9.24,-3.89,-0.4,1.02
54,2015-07-17,601998,9.88,9.8,10.08,9.6,2518222,2469467472.0,4.86,-0.81,-0.08,0.79
55,2015-07-20,601998,9.65,9.98,10.28,9.47,3319795,3275561728.0,8.27,1.84,0.18,1.04
56,2015-07-21,601998,9.79,9.53,9.96,9.51,2538130,2457707264.0,4.51,-4.51,-0.45,0.8
57,2015-07-22,601998,9.33,9.36,9.74,9.28,2403587,2272317024.0,4.83,-1.78,-0.17,0.75
58,2015-07-23,601998,9.29,9.42,9.46,9.2,1854825,1736591584.0,2.78,0.64,0.06,0.58
59,2015-07-24,601998,9.39,9.21,9.6,9.1,2158242,2031298448.0,5.31,-2.23,-0.21,0.68
60,2015-07-27,601998,9.02,8.31,9.14,8.29,2515410,2214232208.0,9.23,-9.77,-0.9,0.79
61,2015-07-28,601998,8.0,8.2,8.75,7.85,2434244,2047426672.0,10.83,-1.32,-0.11,0.76
62,2015-07-29,601998,8.02,8.11,8.18,7.75,1725902,1378066176.0,5.24,-1.1,-0.09,0.54
63,2015-07-30,601998,8.12,7.97,8.17,7.9,1435029,1150154144.0,3.33,-1.73,-0.14,0.45
64,2015-07-31,601998,7.88,7.6,7.96,7.43,1178977,911803104.0,6.65,-4.64,-0.37,0.37
65,2015-08-03,601998,7.48,7.71,7.88,7.37,1245514,950459056.0,6.71,1.45,0.11,0.39
66,2015-08-04,601998,7.66,7.79,7.82,7.52,902836,693559136.0,3.89,1.04,0.08,0.28
67,2015-08-05,601998,7.77,7.61,7.77,7.6,838331,643039040.0,2.18,-2.31,-0.18,0.26
68,2015-08-06,601998,7.6,7.61,7.75,7.52,629459,482610048.0,3.02,0.0,0.0,0.2
69,2015-08-07,601998,7.58,7.64,7.7,7.57,753828,574696032.0,1.71,0.39,0.03,0.24
70,2015-08-10,601998,7.64,7.88,7.96,7.56,1323643,1026455456.0,5.24,3.14,0.24,0.41
71,2015-08-11,601998,7.81,7.79,7.86,7.71,997026,775975328.0,1.9,-1.14,-0.09,0.31
72,2015-08-12,601998,7.7,7.62,7.78,7.59,745388,570479792.0,2.44,-2.18,-0.17,0.23
73,2015-08-13,601998,7.59,7.63,7.67,7.5,693622,525574624.0,2.23,0.13,0.01,0.22
74,2015-08-14,601998,7.63,7.6,7.67,7.57,659602,502502192.0,1.31,-0.39,-0.03,0.21
75,2015-08-17,601998,7.58,7.46,7.58,7.4,766876,571762560.0,2.37,-1.84,-0.14,0.24
76,2015-08-18,601998,7.46,7.6,7.78,7.44,1702760,1298476928.0,4.56,1.88,0.14,0.53
77,2015-08-19,601998,7.42,7.4,7.6,7.07,1346165,984801872.0,6.97,-2.63,-0.2,0.42
78,2015-08-20,601998,7.4,7.09,7.4,7.08,835238,602093008.0,4.32,-4.19,-0.31,0.26
79,2015-08-21,601998,7.01,6.79,7.16,6.74,854157,592957104.0,5.92,-4.23,-0.3,0.27
80,2015-08-24,601998,6.6,6.11,6.69,6.11,1172603,737787296.0,8.54,-10.01,-0.68,0.37
