,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-30,002223,46.5,47.66,47.67,45.9,124311,583582192.0,3.87,4.31,1.97,6.58
1,2015-05-04,002223,47.5,47.6,48.1,45.99,104055,494037536.0,4.43,-0.13,-0.06,5.51
2,2015-05-05,002223,47.4,45.59,48.15,45.52,94625,442258096.0,5.53,-4.22,-2.01,5.01
3,2015-05-06,002223,45.7,45.61,47.08,45.09,66570,307797216.0,4.36,0.04,0.02,3.52
4,2015-05-07,002223,46.5,45.0,47.0,44.44,75870,343929904.0,5.61,-1.34,-0.61,4.02
5,2015-05-08,002223,45.2,47.9,48.55,45.2,127883,598399520.0,7.44,6.44,2.9,6.77
6,2015-05-11,002223,48.3,52.4,52.69,48.0,212578,1071233264.0,9.79,9.39,4.5,11.25
7,2015-05-12,002223,52.4,53.62,55.0,52.01,155667,831529056.0,5.71,2.33,1.22,8.24
8,2015-05-13,002223,53.0,56.9,58.6,51.51,163773,904157936.0,13.22,6.12,3.28,8.67
9,2015-05-14,002223,56.9,54.45,58.5,54.3,108764,602685632.0,7.38,-4.31,-2.45,4.81
10,2015-05-15,002223,54.35,52.9,54.35,51.38,105674,559910256.0,5.45,-2.85,-1.55,4.67
11,2015-05-18,002223,53.03,57.15,57.66,52.98,137199,758555456.0,8.85,8.03,4.25,6.07
12,2015-05-19,002223,56.9,57.92,59.47,54.8,129142,731212224.0,8.17,1.35,0.77,5.71
13,2015-05-20,002223,57.95,58.2,60.0,57.93,118847,700208016.0,3.57,0.48,0.28,5.26
14,2015-05-21,002223,54.0,57.2,57.45,53.0,157550,874444032.0,7.65,-1.72,-1.0,6.33
15,2015-05-22,002223,57.51,57.02,59.69,55.0,161839,928809520.0,8.2,-0.31,-0.18,6.51
16,2015-05-25,002223,55.55,55.4,56.56,53.3,143361,792465840.0,5.72,-2.84,-1.62,5.76
17,2015-05-26,002223,55.4,57.0,57.99,55.2,124357,706908224.0,5.04,2.89,1.6,5.0
18,2015-05-27,002223,57.2,55.09,57.22,54.9,155732,867483856.0,4.07,-3.35,-1.91,6.26
19,2015-05-28,002223,54.99,52.11,57.3,52.1,150784,830550192.0,9.44,-5.41,-2.98,6.06
20,2015-05-29,002223,52.0,52.44,54.11,49.81,142333,749037616.0,8.25,0.63,0.33,5.72
21,2015-06-01,002223,54.5,56.27,56.45,54.0,144471,802460480.0,4.67,7.3,3.83,5.81
22,2015-06-02,002223,57.01,60.75,61.11,56.46,166917,990573808.0,8.26,7.96,4.48,6.71
23,2015-06-03,002223,60.5,60.26,62.7,58.51,127786,769300016.0,6.9,-0.81,-0.49,5.14
24,2015-06-04,002223,60.25,59.02,62.6,54.24,115369,680780320.0,13.87,-2.06,-1.24,4.64
25,2015-06-05,002223,60.0,59.42,61.51,58.0,113637,679693440.0,5.95,0.68,0.4,4.57
26,2015-06-08,002223,60.12,59.97,61.51,58.01,134135,798175328.0,5.89,0.93,0.55,5.39
27,2015-06-09,002223,59.01,58.8,60.27,57.9,119705,705571424.0,3.95,-1.95,-1.17,4.81
28,2015-06-10,002223,58.26,64.68,64.68,57.35,182541,1137486688.0,12.47,10.0,5.88,7.34
29,2015-06-11,002223,66.0,67.68,68.49,64.1,141969,953360496.0,6.79,4.64,3.0,5.71
30,2015-06-12,002223,67.8,71.1,73.4,67.8,155385,1100391520.0,8.27,5.05,3.42,6.25
31,2015-06-15,002223,72.7,67.6,72.91,67.1,152742,1055455552.0,8.17,-4.92,-3.5,6.14
32,2015-06-16,002223,67.0,68.22,70.45,65.0,144150,985093728.0,8.06,0.92,0.62,5.8
33,2015-06-17,002223,68.26,67.95,68.8,63.5,109023,721763584.0,7.77,-0.4,-0.27,4.38
34,2015-06-18,002223,67.79,68.9,71.58,66.2,137366,961217264.0,7.92,1.4,0.95,5.52
35,2015-06-19,002223,67.9,63.98,69.2,62.01,158487,1036025392.0,10.44,-7.14,-4.92,6.37
36,2015-06-23,002223,63.99,66.4,66.8,57.58,189865,1190175952.0,14.41,3.78,2.42,7.63
37,2015-06-24,002223,66.5,67.2,68.58,64.0,109769,733591408.0,6.9,1.2,0.8,4.41
38,2015-07-13,002223,60.48,60.48,60.48,60.48,30848,186568704.0,0.0,-10.0,-6.72,1.24
39,2015-07-14,002223,54.43,54.43,54.43,54.43,35739,194527377.0,0.0,-10.0,-6.05,1.44
40,2015-07-15,002223,48.99,48.99,48.99,48.99,83442,408782352.0,0.0,-9.99,-5.44,3.35
41,2015-07-16,002223,44.09,47.09,48.99,44.09,616502,2857179136.0,10.0,-3.88,-1.9,24.79
42,2015-07-17,002223,46.44,49.02,50.35,45.05,335224,1610654800.0,11.26,4.1,1.93,13.48
43,2015-07-20,002223,48.18,48.11,50.3,47.1,279304,1357337664.0,6.53,-1.86,-0.91,11.23
44,2015-07-21,002223,47.28,48.8,49.51,46.5,200457,965506864.0,6.26,1.43,0.69,8.06
45,2015-07-22,002223,48.68,48.17,49.31,47.01,199706,967220224.0,4.71,-1.29,-0.63,8.03
46,2015-07-23,002223,48.36,51.29,52.1,47.66,226750,1129229232.0,9.22,6.48,3.12,9.12
47,2015-07-24,002223,51.84,48.9,51.97,48.25,222916,1124257088.0,7.25,-4.66,-2.39,8.96
48,2015-07-27,002223,48.7,44.01,48.7,44.01,175527,819501872.0,9.59,-10.0,-4.89,7.06
49,2015-07-28,002223,42.6,43.23,44.3,39.61,280345,1158429680.0,10.66,-1.77,-0.78,11.27
50,2015-07-29,002223,43.27,44.1,44.8,39.6,163294,689547520.0,12.03,2.01,0.87,6.57
51,2015-07-30,002223,43.9,41.3,43.9,39.92,141793,602747904.0,9.02,-6.35,-2.8,5.7
52,2015-07-31,002223,40.47,41.13,41.8,40.47,106760,437376432.0,3.22,-0.41,-0.17,4.29
53,2015-08-03,002223,40.4,38.21,41.0,37.2,181915,702960672.0,9.24,-7.1,-2.92,7.31
54,2015-08-04,002223,38.67,40.2,40.42,37.84,162654,640668208.0,6.75,5.21,1.99,6.54
55,2015-08-05,002223,39.96,39.99,41.6,39.01,121208,492291136.0,6.44,-0.52,-0.21,4.87
56,2015-08-06,002223,39.0,39.57,40.57,38.6,65549,260861103.0,4.93,-1.05,-0.42,2.64
57,2015-08-07,002223,40.2,42.7,42.9,39.87,142030,588539936.0,7.66,7.91,3.13,5.71
58,2015-08-10,002223,43.75,45.23,45.8,42.98,165629,735947424.0,6.6,5.93,2.53,6.66
59,2015-08-11,002223,44.89,44.14,46.09,43.8,143173,644657744.0,5.06,-2.41,-1.09,5.76
60,2015-08-12,002223,43.25,42.55,43.99,42.55,92515,399471776.0,3.26,-3.6,-1.59,3.72
61,2015-08-13,002223,42.51,43.1,43.1,41.2,128736,542661344.0,4.47,1.29,0.55,5.18
62,2015-08-14,002223,43.53,42.7,43.7,42.11,104535,449773520.0,3.69,-0.93,-0.4,4.2
63,2015-08-17,002223,42.38,42.18,42.4,40.56,112533,465417328.0,4.31,-1.22,-0.52,4.52
64,2015-08-18,002223,42.4,38.75,42.5,38.0,134099,545058800.0,10.67,-8.13,-3.43,5.39
65,2015-08-19,002223,38.38,38.49,38.9,35.01,219375,819095760.0,10.04,-0.67,-0.26,8.82
66,2015-08-20,002223,38.0,36.5,38.15,36.5,108753,406255824.0,4.29,-5.17,-1.99,4.37
67,2015-08-21,002223,35.9,34.02,36.39,34.0,109351,383599280.0,6.55,-6.79,-2.48,4.4
68,2015-08-24,002223,31.9,30.62,32.1,30.62,101093,312263952.0,4.35,-9.99,-3.4,4.06
69,2015-08-25,002223,27.56,27.56,29.11,27.56,183956,515237552.0,5.06,-9.99,-3.06,7.4
70,2015-08-26,002223,28.0,27.9,30.08,26.31,217561,616266496.0,13.68,1.23,0.34,8.75
71,2015-08-27,002223,29.01,30.58,30.58,28.71,213507,633721424.0,6.7,9.61,2.68,8.58
72,2015-08-28,002223,31.5,32.74,32.9,31.06,202554,644177904.0,6.02,7.06,2.16,8.14
73,2015-08-31,002223,32.0,30.21,32.05,30.03,131795,409415696.0,6.17,-7.73,-2.53,5.3
74,2015-09-01,002223,30.0,27.6,30.33,27.5,119178,339589424.0,9.37,-8.64,-2.61,4.79
75,2015-09-02,002223,26.0,29.19,29.87,26.0,182017,520850304.0,14.02,5.76,1.59,7.32
76,2015-09-07,002223,29.27,29.94,31.08,29.01,122666,370113792.0,7.09,2.57,0.75,4.93
77,2015-09-08,002223,29.8,32.02,32.11,29.0,105158,320778800.0,10.39,6.95,2.08,4.23
78,2015-09-09,002223,32.18,32.72,33.48,31.7,162610,531416432.0,5.56,2.19,0.7,6.54
79,2015-09-10,002223,31.9,31.1,32.77,31.01,85241,272353968.0,5.38,-4.95,-1.62,3.43
80,2015-09-11,002223,31.26,31.4,31.96,30.81,77749,243117960.0,3.7,0.96,0.3,3.13
81,2015-09-14,002223,31.8,28.26,31.96,28.26,104960,309629600.0,11.78,-10.0,-3.14,4.22
82,2015-09-15,002223,27.5,26.6,28.74,26.41,97569,268238485.0,8.24,-5.87,-1.66,3.92
83,2015-09-16,002223,27.18,29.26,29.26,27.1,106441,299076944.0,8.12,10.0,2.66,4.28
84,2015-09-17,002223,29.29,29.29,30.9,28.99,148597,446487008.0,6.53,0.1,0.03,5.97
85,2015-09-18,002223,29.63,30.51,30.88,28.88,99797,298876352.0,6.83,4.17,1.22,4.01
86,2015-09-21,002223,30.0,32.4,32.5,29.81,140741,445320736.0,8.82,6.19,1.89,5.66
87,2015-09-22,002223,32.29,31.7,32.78,31.4,108258,345926880.0,4.26,-2.16,-0.7,4.35
88,2015-09-23,002223,31.15,30.98,31.76,30.54,83121,258547540.0,3.85,-2.27,-0.72,3.34
89,2015-09-24,002223,31.28,31.35,31.74,30.8,82258,257667770.0,3.03,1.19,0.37,3.31
90,2015-09-25,002223,31.13,30.4,32.15,30.0,102517,318675248.0,6.86,-3.03,-0.95,4.12
91,2015-09-28,002223,30.65,31.85,31.99,29.52,84573,263377692.0,8.13,4.77,1.45,3.4
92,2015-09-29,002223,30.95,31.3,31.6,30.43,91400,283549792.0,3.67,-1.73,-0.55,3.67
93,2015-09-30,002223,31.4,33.59,34.2,31.37,166004,544396112.0,9.04,7.32,2.29,6.67
94,2015-10-08,002223,34.85,35.34,36.35,34.31,140476,497583872.0,6.07,5.21,1.75,5.65
95,2015-10-09,002223,35.34,35.1,35.47,34.42,87845,306189728.0,2.97,-0.68,-0.24,3.53
96,2015-10-12,002223,35.48,36.86,37.37,35.2,109921,402606544.0,6.18,5.01,1.76,4.42
97,2015-10-13,002223,36.51,36.74,37.1,36.21,71719,262614032.0,2.41,-0.33,-0.12,2.88
98,2015-10-14,002223,36.67,35.32,36.8,35.21,83731,299293520.0,4.33,-3.86,-1.42,3.37
99,2015-10-15,002223,35.01,36.28,36.45,34.9,94868,339566512.0,4.39,2.72,0.96,3.81
100,2015-10-16,002223,36.35,37.35,37.5,35.3,129840,472767520.0,6.06,2.95,1.07,5.22
101,2015-10-19,002223,37.52,36.2,38.26,35.75,175869,649343760.0,6.72,-3.08,-1.15,7.07
102,2015-10-20,002223,35.95,36.86,37.1,35.35,147699,536121376.0,4.83,1.82,0.66,5.94
103,2015-10-21,002223,37.0,35.69,38.98,35.14,270350,1013464144.0,10.42,-3.17,-1.17,10.87
104,2015-10-22,002223,36.8,39.26,39.26,36.8,235111,908500144.0,6.89,10.0,3.57,9.45
105,2015-10-23,002223,43.18,43.19,43.19,42.79,132930,573766656.0,1.02,10.01,3.93,5.34
106,2015-10-26,002223,45.0,43.19,45.95,41.01,557125,2442549328.0,11.44,0.0,0.0,22.4
107,2015-10-27,002223,42.11,45.98,47.51,41.07,449166,2011919392.0,14.91,6.46,2.79,18.06
108,2015-10-28,002223,44.3,42.74,45.26,42.15,372481,1638775152.0,6.76,-7.05,-3.24,14.98
109,2015-10-29,002223,43.3,43.28,44.78,43.0,239823,1049040736.0,4.16,1.26,0.54,9.64
110,2015-10-30,002223,43.0,41.65,43.0,41.09,197903,831170368.0,4.41,-3.77,-1.63,7.96
111,2015-11-02,002223,40.03,40.53,42.56,39.83,153878,629917072.0,6.55,-2.69,-1.12,6.19
112,2015-11-03,002223,40.59,40.23,40.99,39.4,118760,477868992.0,3.92,-0.74,-0.3,4.77
113,2015-11-04,002223,40.9,43.47,43.88,40.7,239217,1019669344.0,7.9,8.05,3.24,9.62
114,2015-11-05,002223,43.0,42.3,43.46,41.8,221308,940176496.0,3.82,-2.69,-1.17,8.9
115,2015-11-06,002223,42.2,42.79,43.34,42.07,173695,743291216.0,3.0,1.16,0.49,6.98
116,2015-11-09,002223,42.15,43.38,44.0,41.48,207991,894006944.0,5.89,1.38,0.59,8.36
117,2015-11-10,002223,43.0,43.77,45.25,42.83,212657,939925584.0,5.58,0.9,0.39,8.55
118,2015-11-11,002223,43.7,45.82,45.96,43.27,249324,1112342192.0,6.15,4.68,2.05,10.02
119,2015-11-12,002223,47.4,45.25,47.48,44.82,343225,1583237632.0,5.81,-1.24,-0.57,13.8
120,2015-11-13,002223,45.1,43.0,45.1,42.52,188219,820072416.0,5.7,-4.97,-2.25,7.57
121,2015-11-16,002223,42.0,43.6,43.6,41.56,104286,446798048.0,4.74,1.4,0.6,4.19
122,2015-11-17,002223,43.61,43.23,44.39,43.2,157867,689616640.0,2.73,-0.85,-0.37,6.35
123,2015-11-18,002223,43.0,41.22,43.58,41.11,126453,534744768.0,5.71,-4.65,-2.01,5.08
124,2015-11-19,002223,41.5,42.38,42.38,41.16,94091,393021088.0,2.96,2.81,1.16,3.78
125,2015-11-20,002223,42.42,42.83,43.35,42.42,116347,499088816.0,2.19,1.06,0.45,4.68
126,2015-11-23,002223,43.12,43.42,44.38,43.0,155643,681136544.0,3.22,1.38,0.59,6.26
127,2015-11-24,002223,43.15,42.79,43.28,42.1,92276,392638560.0,2.72,-1.45,-0.63,3.71
128,2015-11-25,002223,43.21,44.9,46.0,43.21,247984,1109991728.0,6.52,4.93,2.11,9.97
129,2015-11-26,002223,44.68,43.29,44.7,43.21,149650,656807248.0,3.32,-3.59,-1.61,6.02
130,2015-11-27,002223,42.84,39.69,42.84,39.31,177145,730597888.0,8.15,-8.32,-3.6,7.12
131,2015-11-30,002223,39.7,39.8,40.58,37.52,117190,460338832.0,7.71,0.28,0.11,4.71
132,2015-12-01,002223,39.72,39.49,40.37,38.88,90554,358217776.0,3.74,-0.78,-0.31,3.64
133,2015-12-02,002223,39.36,39.13,39.85,37.7,73378,284629712.0,5.44,-0.91,-0.36,2.95
134,2015-12-03,002223,39.3,40.1,40.1,39.26,72622,288919072.0,2.15,2.48,0.97,2.92
135,2015-12-04,002223,40.11,39.72,40.69,39.5,82626,332297552.0,2.97,-0.95,-0.38,3.32
136,2015-12-07,002223,39.95,40.08,40.23,39.16,69006,274780416.0,2.69,0.91,0.36,2.77
137,2015-12-08,002223,39.6,38.7,39.99,38.5,73788,287647408.0,3.72,-3.44,-1.38,2.97
138,2015-12-09,002223,38.3,38.15,38.89,37.95,59439,228008252.0,2.43,-1.42,-0.55,2.39
139,2015-12-10,002223,38.16,38.68,38.94,38.16,62261,240847333.0,2.04,1.39,0.53,2.5
140,2015-12-11,002223,38.69,38.19,38.9,38.0,46664,179546418.0,2.33,-1.27,-0.49,1.88
141,2015-12-14,002223,37.88,38.91,38.96,37.31,55783,212136224.0,4.32,1.89,0.72,2.24
142,2015-12-15,002223,39.38,39.78,40.44,39.18,88247,351992880.0,3.24,2.24,0.87,3.55
